date, url, name
06/28/2018,https://www.intelligencesquaredus.org/debates/globalization-has-undermined-americas-working-class,GLOBALIZATION HAS UNDERMINED AMERICAS WORKING CLASS
06/26/2018,https://www.intelligencesquaredus.org/debates/social-media-good-democracy-0, Social Media Is Good for Democracy
06/23/2018,https://www.intelligencesquaredus.org/debates/trigger-warning-safe-spaces-are-dangerous,Trigger Warning Safe Spaces Are Dangerous
05/14/2018,https://www.intelligencesquaredus.org/debates/automation-will-crash-democracy,Automation Will Crash Democracy
05/02/2018,https://www.intelligencesquaredus.org/debates/negotiations-can-denuclearize-north-korea,Negotiations Can Denuclearize North Korea
04/21/2018,https://www.intelligencesquaredus.org/debates/bitcoin-more-bubble-and-here-stay,BITCOIN IS MORE THAN A BUBBLE AND HERE TO STAY
04/17/2018,https://www.intelligencesquaredus.org/debates/preserve-net-neutrality-all-data-created-equal,Preserve Net Neutrality All Data is Created Equal
03/27/2018,https://www.intelligencesquaredus.org/debates/more-we-evolve-less-we-need-god, The More We Evolve The Less We Need God
03/09/2018,https://www.intelligencesquaredus.org/debates/humanitarian-intervention-does-more-harm-good,Humanitarian Intervention Does More Harm Than Good
02/06/2018,https://www.intelligencesquaredus.org/debates/swipe-left-dating-apps-have-killed-romance,Swipe Left Dating Apps Have Killed Romance
12/07/2017,https://www.intelligencesquaredus.org/debates/liberals-hold-moral-high-ground,Liberals Hold the Moral High Ground
10/24/2017,https://www.intelligencesquaredus.org/debates/pay-college-athletes,Pay College Athletes
10/13/2017,https://www.intelligencesquaredus.org/debates/western-democracy-threatening-suicide,Western Democracy Is Threatening Suicide
09/28/2017,https://www.intelligencesquaredus.org/debates/us-health-care-system-terminally-broken,The U.S. Health Care System Is Terminally Broken
06/06/2017,https://www.intelligencesquaredus.org/debates/debating-constitution-technology-and-privacy,DEBATING THE CONSTITUTION: TECHNOLOGY AND PRIVACY
05/10/2017,https://www.intelligencesquaredus.org/debates/video-games-will-make-us-smarter,Video Games Will Make Us Smarter
05/06/2017,https://www.intelligencesquaredus.org/debates/long-live-walmart,Long Live Walmart
