"date","url","name","pre.for","pre.aga","pre.und","post.for","post.aga","post.und","for.to.for","for.to.aga","for.to.und","aga.to.for","aga.to.aga","aga.to.und","und.to.for","und.to.aga","und.to.for.1"
"06/28/2018","https://www.intelligencesquaredus.org/debates/globalization-has-undermined-americas-working-class","GLOBALIZATION HAS UNDERMINED AMERICAS WORKING CLASS",36,45,19,32,61,7,18,15,3,6,38,1,8,8,3
"06/26/2018","https://www.intelligencesquaredus.org/debates/social-media-good-democracy-0"," Social Media Is Good for Democracy",36,46,18,34,63,3,24,11,1,5,41,0,5,11,2
"06/23/2018","https://www.intelligencesquaredus.org/debates/trigger-warning-safe-spaces-are-dangerous","Trigger Warning Safe Spaces Are Dangerous",57,25,18,56,35,9,38,15,4,11,14,0,7,6,5
"05/14/2018","https://www.intelligencesquaredus.org/debates/automation-will-crash-democracy","Automation Will Crash Democracy",25,49,26,45,47,8,17,6,2,16,31,2,12,10,4
"05/02/2018","https://www.intelligencesquaredus.org/debates/negotiations-can-denuclearize-north-korea","Negotiations Can Denuclearize North Korea",34,41,25,27,67,6,16,15,3,4,35,2,7,17,1
"04/21/2018","https://www.intelligencesquaredus.org/debates/bitcoin-more-bubble-and-here-stay","BITCOIN IS MORE THAN A BUBBLE AND HERE TO STAY",39,38,23,25,68,7,16,18,5,3,34,1,6,16,1
"04/17/2018","https://www.intelligencesquaredus.org/debates/preserve-net-neutrality-all-data-created-equal","Preserve Net Neutrality All Data is Created Equal",60,23,17,60,31,9,47,7,6,4,17,2,9,7,1
"03/27/2018","https://www.intelligencesquaredus.org/debates/more-we-evolve-less-we-need-god"," The More We Evolve The Less We Need God",47,31,22,67,26,7,41,4,2,10,18,3,16,4,2
"03/09/2018","https://www.intelligencesquaredus.org/debates/humanitarian-intervention-does-more-harm-good","Humanitarian Intervention Does More Harm Than Good",30,51,19,34,59,7,29,0,1,0,49,2,5,10,4
"02/06/2018","https://www.intelligencesquaredus.org/debates/swipe-left-dating-apps-have-killed-romance","Swipe Left Dating Apps Have Killed Romance",39,37,24,30,66,4,18,19,2,5,31,1,7,16,1
"12/07/2017","https://www.intelligencesquaredus.org/debates/liberals-hold-moral-high-ground","Liberals Hold the Moral High Ground",47,21,32,43,40,17,29,11,7,2,16,3,12,13,7
